,title,year,duration,stars,people,image_url
189,Perdida,2014,2h 29m,"8,1"," 1,1 M","https://m.media-amazon.com/images/M/MV5BZmM0NjJjNDktYTcyMC00YzM1LWI3YWUtMzVmZjhhZGViM2FhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
190,El club de los poetas muertos,1989,2h 8m,"8,1", 564 mil,"https://m.media-amazon.com/images/M/MV5BMjI5ZmY0MjctNzc2Mi00ZGUyLWFhYjUtYTAwOWU3MjMwYjc0XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_QL75_UX140_CR0,1,140,207_.jpg"
191,Maharaja,2024,2h 21m,"8,5", 49 mil,"https://m.media-amazon.com/images/M/MV5BOTFlMTIxOGItZTk0Zi00MTk2LWJiM2UtMzlhZWYzNjQ4N2Y3XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
192,Memories of Murder (Crónica de un asesino en serie),2003,2h 11m,"8,1", 226 mil,"https://m.media-amazon.com/images/M/MV5BM2I2YzhmNDMtM2NlMi00MWMwLWIyN2ItM2ZmNjA5NDZiMDQ4XkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
193,En el nombre del padre,1993,2h 13m,"8,1", 190 mil,"https://m.media-amazon.com/images/M/MV5BOTc1OThmNjYtYTIyNS00MWRlLTk0M2UtM2JkZDU1ZTIxNTBhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
194,La quimera del oro,1925,1h 35m,"8,1", 120 mil,"https://m.media-amazon.com/images/M/MV5BOGMyN2I4MGQtNzcwMS00ZTI5LTk4M2ItMGVmNjQxMzliOTc2XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_QL75_UX140_CR0,1,140,207_.jpg"
195,"Monstruos, S.A.",2001,1h 32m,"8,1", 1 M,"https://m.media-amazon.com/images/M/MV5BNzQ0YTVhNjgtODlhYy00YTA2LTk0ZDgtMzc3Yzc2YzFmYzFmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
196,Relatos salvajes,2014,2h 2m,"8,1", 221 mil,"https://m.media-amazon.com/images/M/MV5BODljMzFmMTAtMGM3YS00OWFlLWI3MjctNjVkOTFiNDViMDVhXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
197,El cazador,1978,3h 3m,"8,1", 368 mil,"https://m.media-amazon.com/images/M/MV5BODQ1NmNmNWItNGNjYy00NDk3LWI3NjItMzkwODYyYWJhYzQwXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
198,Ratatouille,2007,1h 51m,"8,1", 851 mil,"https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
199,El maquinista de La General,1926,1h 18m,"8,1", 100 mil,"https://m.media-amazon.com/images/M/MV5BMjE1NTEzMzUzNV5BMl5BanBnXkFtZTgwNzY1NjYxMjE@._V1_QL75_UX140_CR0,5,140,207_.jpg"
200,El moderno Sherlock Holmes,1924,45m,"8,2", 59 mil,"https://m.media-amazon.com/images/M/MV5BMjQzM2E2NjYtYmRjMC00ZmVlLTljZTgtNmQ5MGZlNDYyZTc5XkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg"
201,Tiburón,1975,2h 4m,"8,1", 676 mil,"https://m.media-amazon.com/images/M/MV5BZWU0NzZmZDEtYjYzMS00MWVkLWE5N2YtNjQ2MTdkMWE4ZGE4XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
202,How to Train Your Dragon,2010,1h 38m,"8,1", 817 mil,"https://m.media-amazon.com/images/M/MV5BMjEyZGViY2ItZmRjOC00NmI5LTlhNDMtYjc1MjIxNWM1ZThkXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
203,La ley del silencio,1954,1h 48m,"8,1", 168 mil,"https://m.media-amazon.com/images/M/MV5BMjE0MDM3OTcxMl5BMl5BanBnXkFtZTgwNjM2OTI3MjE@._V1_QL75_UY207_CR2,0,140,207_.jpg"
204,Mary and Max,2009,1h 32m,"8,1", 189 mil,"https://m.media-amazon.com/images/M/MV5BNzY2Mjc4NjMtNGY4Mi00NzM5LTk3ZTQtN2VkNzVkMzRmM2Y2XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
205,El salario del miedo,1953,2h 11m,"8,1", 68 mil,"https://m.media-amazon.com/images/M/MV5BMDdhOGMwODQtZGM2MS00NGQxLWEyZDMtOTkzMjFjYjI3ZmM2XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
206,Le Mans '66,2019,2h 32m,"8,1", 497 mil,"https://m.media-amazon.com/images/M/MV5BZGUxY2ZlNDgtZjI5OC00ZDE5LThkNjYtNTYzNDhhNDI3ZTJiXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
207,Fresas salvajes,1957,1h 32m,"8,1", 117 mil,"https://m.media-amazon.com/images/M/MV5BZWQ5MDllM2EtZWRmNS00MmZiLWI4ZWQtMjRiY2Q5MTAxODY4XkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
