,title,href,points,by,hours ago,comments
176,A popular but wrong way to convert a string to uppercase or lowercase,https://devblogs.microsoft.com/oldnewthing/20241007-00/?p=110345,312,wibwobble12333,2,159
177,Practices of Reliable Software Design,https://entropicthoughts.com/practices-of-reliable-software-design,203,ingve,3,258
178,Practices of Reliable Software Design,https://entropicthoughts.com/practices-of-reliable-software-design,226,fagnerbrack,2,51
179,Software spotlight: Cassette software for the IBM PC,https://forum.winworldpc.com/discussion/11503/software-spotlight-cassette-software-for-the-ibm-pc,31,snvzz,1,10
180,How Waffle House helps Southerners and FEMA judge a storm's severity,https://apnews.com/article/waffle-house-index-hurricane-milton-e0547ca1fb11ddcadab50035a0da7819,70,geox,1,35
181,Cars bricked by bankrupt EV company will stay bricked – by Cory Doctorow,https://pluralistic.net/2024/10/10/software-based-car/#based,53,Anon84,16,18
182,My negative views on Rust (2023),https://chrisdone.com/posts/rust/,189,rc00,1,291
183,Show HN: I Made an AI Resume Maker That Turns Any Job Link into Tailored Resumes,https://resumeset.com/,5,josylad,1,9
184,"Show HN: Squey, an open-source GPU-accelerated data visualization software",https://squey.org,65,jbleonesio,3,13
185,Nobel Prize in Physics awarded to John Hopfield and Geoffrey Hinton [pdf],https://www.nobelprize.org/uploads/2024/09/advanced-physicsprize2024.pdf,932,drpossum,3,792
186,Show HN: Itineraries.io – I built a joint trip planner in between surgeries,https://itineraries.io,93,samaralihussain,1,67
187,My search for the mysterious missing secretary who shaped chatbot history,https://theconversation.com/my-search-for-the-mysterious-missing-secretary-who-shaped-chatbot-history-225602,59,severine,2,11
188,Rabbit hole: stumbling across two Portuguese punched cards,https://blog.jgc.org/2024/10/rabbit-hole-stumbling-across-two.html,180,jgrahamc,2,59
189,How a Gas Compressor Station Works,https://kimray.com/training/how-gas-compressor-station-works,89,teleforce,2,68
190,A Language of Beautiful Impurity,https://www.edwest.co.uk/p/a-language-of-beautiful-impurity,58,nafnlj,2,13
191,The Disappearance of an Internet Domain,https://every.to/the-crazy-ones/the-disappearance-of-an-internet-domain,52,marban,1,26
192,The Romance of Seahorses,https://nautil.us/the-strange-romance-of-seahorses-899669/,15,mooreds,1,2
193,Elon Musk unveils Tesla Cybercab self-driving robotaxi,https://www.theguardian.com/technology/2024/oct/11/elon-musk-unveils-tesla-cybercab-self-driving-robotaxi,5,beardyw,3,discuss
194,PEP 760: No more bare excepts,https://discuss.python.org/t/pep-760-no-more-bare-excepts/67182,161,ayhanfuat,1,378
195,Lunar Lake's iGPU: Debut of Intel's Xe2 Architecture,https://chipsandcheese.com/p/lunar-lakes-igpu-debut-of-intels,131,mfiguiere,2,62
196,We'll buy back your Typewriter for Uncle Sam,https://pncnmnp.github.io/blogs/typewriter-uncle-sam.html,130,pncnmnp,4,52
197,"Google must open Android for third-party stores, rules Epic judge",https://www.theverge.com/policy/2024/10/7/24243316/epic-google-permanent-injunction-ruling-third-party-stores,779,dblitt,3,576
198,Unseen Thunderbirds film reels found in garden shed,https://www.bbc.co.uk/news/articles/c1e848ewnlno,217,samizdis,3,95
199,The FBI created a coin to investigate crypto pump-and-dump schemes,https://www.theverge.com/2024/10/10/24267098/fbi-coin-crypto-token-nexgenai-sec-doj-fraud-investigation,105,croes,15,111
200,Can you get root with only a cigarette lighter?,https://www.da.vidbuchanan.co.uk/blog/dram-emfi.html,674,1317,3,149
201,Virtualizing iOS on Apple Silicon,https://nickb.website/blog/virtualizing-ios-on-apple-silicon,356,walterbell,3,153
202,Do U.S. ports need more automation?,https://www.construction-physics.com/p/do-us-ports-need-more-automation,199,gok,2,308
203,Video Surveillance with YOLO+llava,https://github.com/PsyChip/machina,258,psychip,3,65
204,AMD EPYC 9755 / 9575F / 9965 Benchmarks Show Dominating Performance Review,https://www.phoronix.com/review/amd-epyc-9965-9755-benchmarks,7,rbanffy,15,discuss
